127.0.0.1 - - [17/Dec/2024:11:02:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Dec/2024:11:02:48 +0900] "GET /jspHomePage/boardListServlet.do HTTP/1.1" 200 6597
0:0:0:0:0:0:0:1 - - [17/Dec/2024:11:02:48 +0900] "GET /jspHomePage/home/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2024:11:02:48 +0900] "GET /jspHomePage/home/js/headerNav.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2024:11:02:48 +0900] "GET /jspHomePage/home/css/boardPage.css HTTP/1.1" 200 2521
0:0:0:0:0:0:0:1 - - [17/Dec/2024:11:02:48 +0900] "GET /jspHomePage/home/css/common.css HTTP/1.1" 200 3198
0:0:0:0:0:0:0:1 - - [17/Dec/2024:11:02:48 +0900] "GET /jspHomePage/home/css/headerNav.css HTTP/1.1" 200 2357
0:0:0:0:0:0:0:1 - - [17/Dec/2024:11:02:48 +0900] "GET /jspHomePage/home/css/carouselSection.css HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [17/Dec/2024:11:02:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Dec/2024:11:22:34 +0900] "GET /jspHomePage/home/mainPage.jsp HTTP/1.1" 200 6210
0:0:0:0:0:0:0:1 - - [17/Dec/2024:11:22:34 +0900] "GET /jspHomePage/home/media/slide-1.jpg HTTP/1.1" 200 171051
0:0:0:0:0:0:0:1 - - [17/Dec/2024:11:22:34 +0900] "GET /jspHomePage/home/media/slide-2.jpg HTTP/1.1" 200 281800
0:0:0:0:0:0:0:1 - - [17/Dec/2024:11:22:34 +0900] "GET /jspHomePage/home/css/MainPage.css HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [17/Dec/2024:11:22:34 +0900] "GET /jspHomePage/home/media/slide-4.jpg HTTP/1.1" 200 284531
0:0:0:0:0:0:0:1 - - [17/Dec/2024:11:22:34 +0900] "GET /jspHomePage/home/media/slide-3.jpg HTTP/1.1" 200 242728
0:0:0:0:0:0:0:1 - - [17/Dec/2024:11:22:34 +0900] "GET /jspHomePage/home/js/carousel.js HTTP/1.1" 200 3336
0:0:0:0:0:0:0:1 - - [17/Dec/2024:11:22:37 +0900] "GET /jspHomePage/home/loginPopup.jsp HTTP/1.1" 200 1144
